emoji_level,font_file,cp_seq,supported
1.0,api_level/21/NotoColorEmoji.ttf,"(127802,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127803,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127804,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127805,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127806,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127807,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127808,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127809,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127810,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127811,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127812,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127813,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127814,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127815,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127816,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127817,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127818,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127819,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127820,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127821,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127822,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127823,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127824,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127825,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127826,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127827,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127828,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127829,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127830,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127831,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127832,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127833,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127834,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127835,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127836,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127837,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127838,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127839,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127840,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127841,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127842,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127843,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127844,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127845,)",True
